Domain    ;State fluent      ;Mean (upper) ;Mean (lower) ;Mean (DiffMax) ;DiffMax list
HVAC      ;occupied          ;-2400.0286   ;-112634.46   ;110234.42      ;110234.5, 110234.42, 110234.4, 110234.42, 110234.414, 110234.42, 110234.41, 110234.41, 110234.42, 110234.41, 110234.41, 110234.5, 110234.42, 110234.52, 110234.414, 110234.41, 110234.41, 110234.41, 110234.4, 110234.41
HVAC      ;temp-heater       ;-274418.88   ;-7461.4854   ;266957.38      ;266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34, 266957.34
HVAC      ;temp-zone         ;-1080000.0   ;-1080000.0   ;     0.0       ;0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
UAV       ;phi               ;-1727.9553   ;-1729.9587   ;     3.1929932 ;5.396118, 0.23925781, 6.0737305, 0.053100586, 4.2385254, 4.826294, 6.0664062, 0.90234375, 6.059082, 6.1311035, 2.512329, 0.3828125, 4.718994, 1.3421631, 0.037353516, 1.3267822, 0.25964355, 2.512329, 4.6678467, 6.1136475
UAV       ;pos-x             ;-1001000.4   ;-999000.4    ;  2000.0       ;2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0
UAV       ;pos-y             ;-1001000.4   ;-999000.4    ;  2000.0       ;2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0
UAV       ;pos-z             ;-1001000.3   ;-999000.4    ;  1999.9375    ;1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375
UAV       ;psi               ;-1719.1199   ;-1732.1638   ;    13.043945  ;13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945, 13.043945
UAV       ;theta             ;-1717.9281   ;-1728.0162   ;    10.0880375 ;8.460571, 8.473267, 8.4104, 8.397339, 13.888672, 8.430664, 8.450195, 8.5061035, 12.751221, 8.405151, 13.610474, 8.402588, 8.378296, 12.876709, 13.813599, 8.508911, 8.65625, 13.610474, 11.307251, 8.422607
UAV       ;vel               ;-1757.238    ;-1553.1404   ;   204.09781   ;204.61548, 202.41907, 206.59375, 203.61987, 204.69507, 205.021, 206.76733, 202.41895, 202.42554, 202.41895, 204.6604, 204.84265, 204.99744, 202.41907, 205.1731, 202.41907, 203.50037, 204.6604, 202.41895, 205.86938
MarsRover ;mineral-harvested ;279.6587     ;-0.25024477  ;   279.90894   ;279.94986, 279.858, 279.898, 279.81393, 279.8457, 280.02878, 279.90643, 279.83887, 279.9188, 279.9501, 279.8926, 279.79755, 279.9246, 279.89874, 279.93817, 279.8981, 279.9727, 279.8926, 279.97086, 279.98434
MarsRover ;pos-x             ;-0.24776399  ;5.500311     ;     5.748075  ;6.803734, 3.8471055, 3.9131727, 3.907245, 5.5870376, 6.7806153, 4.901104, 6.892844, 5.812239, 4.7402678, 6.680928, 5.6107116, 5.7970805, 3.8146355, 6.840702, 6.8994627, 6.8478622, 6.680928, 6.809584, 5.7942357
MarsRover ;pos-y             ;-0.24619055  ;5.607758     ;     5.8539495 ;6.8525987, 3.8792214, 3.9350123, 3.8446271, 5.6601114, 6.8469925, 4.8492117, 6.831434, 5.8529196, 5.7411637, 6.7537856, 5.5861716, 5.80284, 4.744803, 6.845353, 6.8978505, 6.8701935, 6.7537856, 6.7263274, 5.8045783
MarsRover ;vel-x             ;4.750998     ;1.6445982    ;     3.1064    ;2.9855452, 3.1305304, 3.1273403, 3.1049676, 3.1455917, 3.122658, 3.1273484, 3.0302703, 3.0396032, 3.1566894, 3.2091308, 3.1069174, 3.0898037, 3.033177, 3.1535945, 2.986289, 3.1348293, 3.2091308, 3.1340733, 3.1005096
MarsRover ;vel-y             ;4.754552     ;1.6360012    ;     3.1185505 ;3.014679, 3.1221528, 3.1481695, 3.0942764, 3.167648, 3.1497097, 3.144744, 3.012824, 3.057168, 3.1950855, 3.1798835, 3.138393, 3.0860853, 3.0465322, 3.139468, 3.0636117, 3.1810086, 3.1798835, 3.119366, 3.1303267
