DBN dependency analysis

Domain: RaceCar
Instance: 0

Grounded fluent                         Parent variables                                                                                    

ax                                      fx                                                                                                  
ay                                      fy                                                                                                  
dx                                      ax, vx                                                                                              
dy                                      ay, vy                                                                                              
o1(?b1)                                 dx, dy, x, y                                                                                        
o1(?b2)                                 dx, dy, x, y                                                                                        
o1(?b3)                                 dx, dy, x, y                                                                                        
o1(?b4)                                 dx, dy, x, y                                                                                        
o1(?b5)                                 dx, dy, x, y                                                                                        
o1(?b6)                                 dx, dy, x, y                                                                                        
o1(?b7)                                 dx, dy, x, y                                                                                        
o1(?b8)                                 dx, dy, x, y                                                                                        
o1(?b9)                                 dx, dy, x, y                                                                                        
o1(?b10)                                dx, dy, x, y                                                                                        
o1(?b11)                                dx, dy, x, y                                                                                        
o1(?b12)                                dx, dy, x, y                                                                                        
o1(?b13)                                dx, dy, x, y                                                                                        
o1(?b14)                                dx, dy, x, y                                                                                        
o1(?b15)                                dx, dy, x, y                                                                                        
o1(?b16)                                dx, dy, x, y                                                                                        
o1(?b17)                                dx, dy, x, y                                                                                        
o1(?b18)                                dx, dy, x, y                                                                                        
o1(?b19)                                dx, dy, x, y                                                                                        
o1(?b20)                                dx, dy, x, y                                                                                        
o1(?b21)                                dx, dy, x, y                                                                                        
o1(?b22)                                dx, dy, x, y                                                                                        
o1(?b23)                                dx, dy, x, y                                                                                        
o1(?b24)                                dx, dy, x, y                                                                                        
o1(?b25)                                dx, dy, x, y                                                                                        
o1(?b26)                                dx, dy, x, y                                                                                        
o1(?b27)                                dx, dy, x, y                                                                                        
o1(?b28)                                dx, dy, x, y                                                                                        
o1(?b29)                                dx, dy, x, y                                                                                        
o1(?b30)                                dx, dy, x, y                                                                                        
o1(?b31)                                dx, dy, x, y                                                                                        
o1(?b32)                                dx, dy, x, y                                                                                        
o1(?b33)                                dx, dy, x, y                                                                                        
o1(?b34)                                dx, dy, x, y                                                                                        
o1(?b35)                                dx, dy, x, y                                                                                        
o1(?b36)                                dx, dy, x, y                                                                                        
o1(?b37)                                dx, dy, x, y                                                                                        
o1(?b38)                                dx, dy, x, y                                                                                        
o1(?b39)                                dx, dy, x, y                                                                                        
o1(?b40)                                dx, dy, x, y                                                                                        
o1(?b41)                                dx, dy, x, y                                                                                        
o1(?b42)                                dx, dy, x, y                                                                                        
o1(?b43)                                dx, dy, x, y                                                                                        
o1(?b44)                                dx, dy, x, y                                                                                        
o1(?b45)                                dx, dy, x, y                                                                                        
o1(?b46)                                dx, dy, x, y                                                                                        
o1(?b47)                                dx, dy, x, y                                                                                        
o1(?b48)                                dx, dy, x, y                                                                                        
o1(?b49)                                dx, dy, x, y                                                                                        
o1(?b50)                                dx, dy, x, y                                                                                        
o1(?b51)                                dx, dy, x, y                                                                                        
o1(?b52)                                dx, dy, x, y                                                                                        
o1(?b53)                                dx, dy, x, y                                                                                        
o1(?b54)                                dx, dy, x, y                                                                                        
o1(?b55)                                dx, dy, x, y                                                                                        
o1(?b56)                                dx, dy, x, y                                                                                        
o1(?b57)                                dx, dy, x, y                                                                                        
o1(?b58)                                dx, dy, x, y                                                                                        
o1(?b59)                                dx, dy, x, y                                                                                        
o1(?b60)                                dx, dy, x, y                                                                                        
o1(?b61)                                dx, dy, x, y                                                                                        
o1(?b62)                                dx, dy, x, y                                                                                        
o1(?b63)                                dx, dy, x, y                                                                                        
o1(?b64)                                dx, dy, x, y                                                                                        
o1(?b65)                                dx, dy, x, y                                                                                        
o1(?b66)                                dx, dy, x, y                                                                                        
o1(?b67)                                dx, dy, x, y                                                                                        
o1(?b68)                                dx, dy, x, y                                                                                        
o1(?b69)                                dx, dy, x, y                                                                                        
o1(?b70)                                dx, dy, x, y                                                                                        
o1(?b71)                                dx, dy, x, y                                                                                        
o1(?b72)                                dx, dy, x, y                                                                                        
